iter	Passed	Remaining
0	2	226
1	4	224
2	7	229
3	8	213
4	11	218
5	13	217
6	17	227
7	19	226
8	23	236
9	26	241
10	29	235
11	31	231
12	33	226
13	36	222
14	38	220
15	41	219
16	43	214
17	46	212
18	49	209
19	51	205
20	53	201
21	55	197
22	57	193
23	59	188
24	62	186
25	64	182
26	66	179
27	68	176
28	71	174
29	73	171
30	75	168
31	78	166
32	81	164
33	83	163
34	87	162
35	89	159
36	93	158
37	95	156
38	98	154
39	101	152
40	104	150
41	105	146
42	108	143
43	110	141
44	113	138
45	116	136
46	118	134
47	122	132
48	125	130
49	130	130
50	133	128
51	136	125
52	138	122
53	140	120
54	143	117
55	145	114
56	149	112
57	151	109
58	154	107
59	156	104
60	158	101
61	161	98
62	164	96
63	166	93
64	170	91
65	172	89
66	175	86
67	178	83
68	180	81
69	183	78
70	185	75
71	188	73
72	191	70
73	193	68
74	196	65
75	199	62
76	202	60
77	206	58
78	208	55
79	211	52
80	213	50
81	215	47
82	218	44
83	220	42
84	223	39
85	225	36
86	228	34
87	230	31
88	232	28
89	234	26
90	237	23
91	239	20
92	242	18
93	244	15
94	247	13
95	249	10
96	252	7
97	254	5
98	256	2
99	259	0
