iter	Passed	Remaining
0	150	150113
1	152	76102
2	154	51470
3	157	39138
4	159	31765
5	161	26805
6	163	23221
7	165	20571
8	168	18575
9	171	17014
10	173	15628
11	175	14478
12	178	13533
13	180	12729
14	184	12083
15	186	11458
16	188	10895
17	190	10405
18	193	9975
19	195	9576
20	197	9223
21	199	8886
22	201	8577
23	203	8293
24	206	8039
25	208	7809
26	212	7640
27	214	7432
28	216	7249
29	218	7075
30	220	6907
31	222	6743
32	226	6632
33	228	6499
34	230	6367
35	233	6239
36	234	6111
37	236	5996
38	238	5888
39	241	5788
40	243	5703
41	245	5607
42	247	5517
43	249	5426
44	253	5376
45	255	5308
46	258	5234
47	260	5166
48	263	5122
49	266	5067
50	270	5029
51	273	4981
52	275	4922
53	277	4859
54	279	4800
55	282	4763
56	285	4727
57	287	4677
58	290	4626
59	292	4577
60	294	4531
61	297	4503
62	299	4457
63	301	4415
64	303	4372
65	306	4332
66	308	4299
67	311	4273
68	314	4248
69	317	4215
70	319	4180
71	322	4151
72	325	4132
73	328	4109
74	331	4083
75	333	4056
76	335	4027
77	338	4001
78	343	4005
79	345	3973
80	347	3940
81	349	3911
82	350	3872
83	352	3843
84	355	3830
85	358	3811
86	362	3799
87	363	3771
88	366	3750
89	368	3728
90	370	3705
91	373	3688
92	376	3669
93	378	3648
94	380	3627
95	383	3610
96	385	3592
97	387	3569
98	389	3548
99	391	3526
100	394	3509
101	396	3489
102	398	3469
103	400	3453
104	403	3435
105	404	3415
106	406	3396
107	409	3378
108	410	3358
109	413	3341
110	416	3332
111	418	3317
112	420	3303
113	423	3288
114	425	3277
115	429	3275
116	431	3258
117	434	3246
118	437	3240
119	450	3301
120	455	3309
121	457	3292
122	462	3301
123	467	3303
124	470	3294
125	478	3316
126	484	3328
127	488	3325
128	497	3360
129	503	3369
130	509	3377
131	512	3372
132	515	3359
133	518	3350
134	524	3360
135	528	3356
136	533	3357
137	541	3381
138	545	3375
139	548	3372
140	552	3367
141	554	3351
142	558	3346
143	561	3340
144	569	3356
145	573	3355
146	577	3352
147	581	3348
148	585	3345
149	598	3392
150	602	3385
151	605	3378
152	610	3376
153	612	3365
154	616	3360
155	621	3361
156	624	3351
157	627	3345
158	631	3340
159	641	3367
160	643	3352
161	647	3346
162	651	3343
163	654	3335
164	658	3331
165	663	3335
166	668	3335
167	673	3334
168	676	3326
169	681	3325
170	685	3322
171	690	3325
172	696	3327
173	698	3316
174	703	3315
175	706	3309
176	710	3303
177	713	3294
178	716	3284
179	718	3273
180	722	3269
181	726	3263
182	728	3253
183	731	3243
184	733	3231
185	738	3231
186	741	3222
187	743	3211
188	746	3204
189	751	3204
190	757	3209
191	761	3202
192	765	3199
193	769	3197
194	772	3188
195	775	3180
196	777	3170
197	781	3164
198	784	3158
199	787	3149
200	789	3139
201	792	3132
202	797	3132
203	800	3125
204	803	3116
205	806	3108
206	809	3100
207	814	3101
208	816	3091
209	819	3081
210	821	3071
211	824	3065
212	828	3061
213	831	3052
214	833	3045
215	837	3039
216	841	3037
217	844	3031
218	848	3025
219	851	3019
220	854	3012
221	860	3016
222	863	3009
223	867	3003
224	872	3005
225	875	2999
226	882	3003
227	885	2998
228	891	3001
229	897	3003
230	903	3009
231	907	3003
232	910	2996
233	916	3000
234	921	2999
235	924	2992
236	926	2983
237	931	2982
238	934	2974
239	936	2965
240	938	2957
241	943	2953
242	947	2950
243	950	2944
244	952	2935
245	956	2932
246	959	2926
247	962	2919
248	966	2914
249	968	2905
250	972	2901
251	975	2896
252	978	2888
253	981	2883
254	985	2878
255	990	2877
256	992	2870
257	995	2862
258	997	2855
259	1003	2854
260	1007	2852
261	1009	2844
262	1013	2839
263	1017	2835
264	1022	2835
265	1025	2830
266	1029	2825
267	1034	2826
268	1037	2819
269	1039	2811
270	1042	2804
271	1045	2797
272	1049	2794
273	1053	2790
274	1055	2783
275	1059	2779
276	1066	2784
277	1069	2777
278	1072	2770
279	1074	2763
280	1079	2761
281	1083	2758
282	1087	2755
283	1092	2754
284	1098	2754
285	1101	2750
286	1106	2749
287	1113	2751
288	1118	2750
289	1121	2745
290	1156	2816
291	1164	2823
292	1170	2824
293	1178	2829
294	1182	2825
295	1184	2817
296	1187	2811
297	1208	2846
298	1213	2843
299	1224	2858
300	1228	2853
301	1231	2846
302	1237	2847
303	1242	2844
304	1255	2861
305	1259	2857
306	1263	2852
307	1268	2849
308	1271	2843
309	1275	2837
310	1281	2838
311	1284	2832
312	1290	2832
313	1300	2840
314	1303	2833
315	1306	2826
316	1311	2826
317	1315	2821
318	1318	2815
319	1326	2818
320	1332	2818
321	1335	2812
322	1340	2809
323	1342	2801
324	1347	2797
325	1350	2791
326	1356	2791
327	1359	2785
328	1362	2779
329	1386	2814
330	1393	2816
331	1396	2810
332	1403	2811
333	1405	2803
334	1408	2795
335	1411	2789
336	1417	2789
337	1420	2782
338	1424	2776
339	1430	2777
340	1434	2772
341	1437	2765
342	1440	2758
343	1446	2759
344	1449	2752
345	1453	2748
346	1470	2767
347	1479	2772
348	1487	2774
349	1497	2781
350	1511	2794
351	1514	2788
352	1517	2782
353	1525	2784
354	1535	2789
355	1549	2802
356	1557	2805
357	1561	2799
358	1564	2793
359	1566	2785
360	1569	2778
361	1573	2773
362	1577	2768
363	1592	2783
364	1596	2777
365	1603	2778
366	1608	2775
367	1612	2768
368	1616	2763
369	1620	2759
370	1623	2752
371	1628	2748
372	1634	2748
373	1637	2741
374	1641	2735
375	1644	2729
376	1653	2732
377	1655	2724
378	1658	2717
379	1663	2713
380	1669	2711
381	1672	2706
382	1677	2702
383	1681	2698
384	1684	2690
385	1687	2684
386	1695	2684
387	1700	2681
388	1706	2679
389	1715	2683
390	1719	2678
391	1722	2671
392	1728	2669
393	1734	2668
394	1739	2664
395	1742	2657
396	1756	2668
397	1761	2663
398	1765	2659
399	1770	2655
400	1775	2651
401	1785	2655
402	1792	2655
403	1798	2652
404	1802	2648
405	1811	2650
406	1815	2645
407	1819	2639
408	1824	2636
409	1830	2634
410	1839	2636
411	1852	2643
412	1856	2639
413	1863	2638
414	1866	2631
415	1869	2624
416	1873	2619
417	1878	2615
418	1882	2610
419	1885	2604
420	1889	2598
421	1895	2596
422	1897	2588
423	1901	2582
424	1910	2584
425	1946	2623
426	1962	2633
427	1965	2627
428	1970	2622
429	1976	2619
430	1979	2612
431	1983	2607
432	1986	2601
433	1992	2598
434	1994	2590
435	1997	2583
436	2001	2578
437	2008	2577
438	2011	2570
439	2015	2565
440	2018	2558
441	2022	2553
442	2024	2545
443	2027	2538
444	2030	2532
445	2033	2526
446	2037	2520
447	2041	2515
448	2046	2511
449	2058	2515
450	2060	2508
451	2064	2502
452	2068	2497
453	2071	2490
454	2073	2483
455	2076	2477
456	2083	2475
457	2086	2468
458	2089	2462
459	2092	2455
460	2099	2454
461	2101	2447
462	2104	2440
463	2111	2439
464	2115	2433
465	2118	2427
466	2120	2420
467	2123	2413
468	2128	2410
469	2131	2403
470	2133	2396
471	2136	2389
472	2141	2385
473	2144	2379
474	2147	2373
475	2150	2367
476	2153	2361
477	2155	2354
478	2158	2347
479	2160	2340
480	2163	2334
481	2165	2327
482	2169	2321
483	2171	2315
484	2174	2308
485	2176	2301
486	2178	2294
487	2180	2287
488	2182	2280
489	2184	2273
490	2186	2266
491	2188	2259
492	2190	2252
493	2193	2246
494	2195	2239
495	2198	2233
496	2200	2226
497	2202	2219
498	2204	2213
499	2206	2206
500	2208	2199
501	2211	2193
502	2214	2188
503	2216	2181
504	2218	2174
505	2221	2168
506	2223	2162
507	2225	2155
508	2229	2150
509	2231	2144
510	2234	2138
511	2236	2131
512	2238	2125
513	2240	2118
514	2244	2113
515	2247	2108
516	2249	2101
517	2252	2095
518	2254	2089
519	2256	2082
520	2258	2076
521	2262	2071
522	2264	2064
523	2266	2058
524	2268	2052
525	2270	2046
526	2276	2042
527	2278	2036
528	2280	2030
529	2283	2024
530	2285	2018
531	2289	2013
532	2291	2007
533	2292	2000
534	2295	1994
535	2297	1988
536	2299	1982
537	2303	1977
538	2306	1972
539	2307	1966
540	2310	1960
541	2313	1954
542	2315	1949
543	2318	1943
544	2320	1937
